time,claremont_count,innaloo,kelmscott_count,myaree_count,northbridge_count,oconnor_count,scarbs_count,shenton_count,vic_count
02:09:35 2021/02/11,,2,1,,2,1,1,,1
02:19:38 2021/02/11,,2,,,2,1,1,,
02:29:40 2021/02/11,,1,,,1,1,1,,
02:39:43 2021/02/11,,,,,1,1,1,,
02:49:46 2021/02/11,,,,,1,,,,1
02:59:49 2021/02/11,,,,,1,,,,1
03:09:52 2021/02/11,,,,,1,,,,1
03:19:55 2021/02/11,,,,,1,,,,1
03:29:57 2021/02/11,,1,,2,1,,,,1
03:40:00 2021/02/11,1,3,1,2,1,,,,1
03:50:02 2021/02/11,2,4,1,2,1,2,1,,1
04:00:05 2021/02/11,2,4,1,2,1,2,1,,
04:10:07 2021/02/11,2,5,2,2,2,2,1,,
